Object Type	SUBDATA Allowed	Key/Required Fields	Variable Name	Concise Variable Name	Type of Variable	Description
			ContainedInDiffFlowsBC		String	'Indicates if an object is in the base case that was set with the difference flows.  If this field is YES, this object is contained in both the present case and the base case.  If this field is NO, this object is only in the present case.'
			CtgOverloadDir		String	'CTG Results: Possible directions of branch loading under all contingencies for which this branch is a violation.'
			CtgOverloadDir:1		String	'CTG Results: The direction of the branch loading for the maximum loading level that occurs on this branch under all contingencies for which this branch is a violation.'
			CTGViol		Integer	'Number of violations on element caused by contingencies'
			CTGViolDiff		Integer	'CTG Compare Results: Number of New Violations'
			CustomExpression		Real	'Any number of expressions may be defined for an object.  This represents Expression 1 It will be blank if no expression specified'
			CustomExpression:1		Real	'Any number of expressions may be defined for an object.  This represents Expression 2 It will be blank if no expression specified'
			CustomExpressionStr		String	'Any number of string expressions may be defined for an object.  This represents String Expression 1 It will be blank if no string expression specified'
			CustomExpressionStr:1		String	'Any number of string expressions may be defined for an object.  This represents String Expression 2 It will be blank if no string expression specified'
		<	CustomInteger		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 1'
		<	CustomInteger:1		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 2'
		<	CustomInteger:2		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 3'
		<	CustomInteger:3		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 4'
		<	CustomInteger:4		Integer	'The user may specify any number of custom integers for each object type.  This represents custom integer value 5'
		<	CustomSingle		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 1'
		<	CustomSingle:1		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 2'
		<	CustomSingle:2		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 3'
		<	CustomSingle:3		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 4'
		<	CustomSingle:4		Real	'The user may specify any number of custom floating points for each object type.  This represents custom floating point value 5'
		<	CustomString		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 1'
		<	CustomString:1		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 2'
		<	CustomString:2		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 3'
		<	CustomString:3		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 4'
		<	CustomString:4		String	'The user may specify any number of custom strings for each object type.  This represents custom string value 5'
			Datum		String	'String that can be used to specify the Geographic Datum used for the latitude and longitude measurement.  This field is informational only at From bus'
			Datum:1		String	'String that can be used to specify the Geographic Datum used for the latitude and longitude measurement.  This field is informational only at To Bus'
			DerivedStatus	DerivedStatus	String	'OPEN if the branch Status = OPEN else if breaker then CLOSED.  If Status = CLOSED and non-breaker, CLOSED if a closed breaker or shunt device (gen, load, switched shunt) is found by looking outward from both terminal buses.  OPEN FROM if closed breaker or shunt device found for the TO terminal only.  OPEN TO if closed breaker or shunt device found for the FROM terminal only.'
			DevOwnerDefault		String	'Owner Default Is Used'
			DummyMasterLine		String	'Identification of three-winding transformer'
			EMSDeviceID		String	'Identifier typically associated with an EMS case that specifies the type of branch.'
			EMSType		String	'Identifier typcially associated with an EMS case that specifies the type of CB device.'
			FAOpenInZeroSequence		String	'Treat the branch as an open circuit in the zero sequence in the fault analysis'
			FaultCurAng		Real	'Fault Current Angle'
			FaultCurMag		Real	'Fault Current p.u. Mag'
			FileType		String	'RAW File CW Winding I/O Code.  Set to 1, 2, or 3 to match the desired code when writing to a RAW file'
			FileType:1		String	'RAW File CZ Impedance I/O Code.  Set to 1, 2, or 3 to match the desired code when writing to a RAW file'
			FileType:2		String	'RAW File CM Admittance I/O Code.  Set to 1 or 2 to match the desired code when writing to a RAW file'
			FltSeqAngle		Real	'Sequence Angle  + at From bus'
			FltSeqAngle:1		Real	'Sequence Angle  - at From bus'
			FltSeqAngle:2		Real	'Sequence Angle  0 at From bus'
			FltSeqAngle:3		Real	'Sequence Angle  + at To bus'
			FltSeqAngle:4		Real	'Sequence Angle  - at To bus'
			FltSeqAngle:5		Real	'Sequence Angle  0 at To bus'
			FltSeqI		Real	'Sequence Current  + at From bus'
			FltSeqI:1		Real	'Sequence Current  - at From bus'
			FltSeqI:2		Real	'Sequence Current  0 at From bus'
			FltSeqI:3		Real	'Sequence Current  + at To bus'
			FltSeqI:4		Real	'Sequence Current  - at To bus'
			FltSeqI:5		Real	'Sequence Current  0 at To bus'
			GEaLoss		Real	'GE Loss Factor (information only)'
			GEAreaZoneOwner		Integer	'GE Area'
			GEAreaZoneOwner:1		Integer	'GE Zone'
			GECompensatingRX		Real	'GE Compensating Resistance (information only)'
			GECompensatingRX:1		Real	'GE Compensating Reactance (information only)'
			GEDateIn		String	'GE In Service Date (information only)'
			GEDateOut		String	'GE Retirement Date (information only)'
			GEEPCModificationStatus		String	'EPC Modification Status (information only)'
			GEExtraOwnerPF		Real	'GE Owner Part. Factors (add'l)1 (information only)'
			GEExtraOwnerPF:1		Real	'GE Owner Part. Factors (add'l)2 (information only)'
			GEExtraOwnerPF:2		Real	'GE Owner Part. Factors (add'l)3 (information only)'
			GEExtraOwnerPF:3		Real	'GE Owner Part. Factors (add'l)4 (information only)'
			GEExtraOwners		Integer	'GE Owners (additional)1 (information only)'
			GEExtraOwners:1		Integer	'GE Owners (additional)2 (information only)'
			GEExtraOwners:2		Integer	'GE Owners (additional)3 (information only)'
			GEExtraOwners:3		Integer	'GE Owners (additional)4 (information only)'
			GEFlaggedForDelete		String	'Flagged for Delete in EPC (information only)'
			GELineAmpacity		Real	'GE Line Ampacity a-phase (information only)'
			GELineAmpacity:1		Real	'GE Line Ampacity b-phase (information only)'
			GELineAmpacity:2		Real	'GE Line Ampacity c-phase (information only)'
			GELineAmpacity:3		Real	'GE Line Ampacity neutral (information only)'
			GELineAmpacity:4		Real	'GE Line Ampacity service wire (information only)'
			GELineCondPerBundle		Integer	'GE Conductors per Bundle (information only)'
			GELineConductor		Integer	'GE Line Conductor a-phase (information only)'
			GELineConductor:1		Integer	'GE Line Conductor b-phase (information only)'
			GELineConductor:2		Integer	'GE Line Conductor c-phase (information only)'
			GELineConductor:3		Integer	'GE Line Conductor neutral (information only)'
			GELineConductor:4		Integer	'GE Line Conductor service wire (information only)'
			GELinePoleType		String	'GE Line Pole Type (information only)'
			GELineRating		Real	'GE Line Rating (information only)'
			GELineSectionRXC		Real	'GE Line Section resistance (information only)'
			GELineSectionRXC:1		Real	'GE Line Section reactance (information only)'
			GELineSectionRXC:2		Real	'GE Line Section susceptance (information only)'
			GELineSectionRXC:3		Real	'GE Line Section 0 sequence resistance (information only)'
			GELineSectionRXC:4		Real	'GE Line Section 0 sequence reactance (information only)'
			GELineSectionRXC:5		Real	'GE Line Section 0 sequence susceptance (information only)'
			GELineWireStation		Integer	'GE Line Wire Station a-phase (information only)'
			GELineWireStation:1		Integer	'GE Line Wire Station b-phase (information only)'
			GELineWireStation:2		Integer	'GE Line Wire Station c-phase (information only)'
			GELineWireStation:3		Integer	'GE Line Wire Station neutral (information only)'
			GELineWireStation:4		Integer	'GE Line Wire Station service wire (information only)'
			GELongID		String	'GE Long ID (information only)'
			GENormStatus		Integer	'GE Normal Status (information only)'
			GEOhmicDF		Integer	'When loading in an EPC file with ohms = 1 we will convert the R, X, and B values specified in an EPC file to per-unit.  With Ohms = 1, R and X are specified in ohms while B is specified in micro mhos.  When writing out to an EPC file, if ohms = 1, then Simulator will write using this convention.  This flag is ignored for transformers.'
			GEProjectID		Integer	'GE Project ID (information only)'
			GESection		Integer	'GE Section (information only)'
			GEType		Integer	'GE Type (information only)'
			GEXFMagnetizing		Real	'GE Transformer Magnetizing (information only)'
			GEXFTap		Real	'GE Transformer Tap from bus (information only)'
			GEXFTap:1		Real	'GE Transformer Tap to bus (information only)'
			GEXFUnits		Integer	'GE Transformer Units - Tap (information only)'
			GEXFUnits:1		Integer	'GE Transformer Units - Impedance (information only)'
			GEXFUnits:2		Integer	'GE Transformer Units - Admittance (information only)'
			GEXFWindingRX		Real	'GE Transformer Winding Resistance Primary - Tertiary (information only)'
			GEXFWindingRX:1		Real	'GE Transformer Winding Reactance Primary - Tertiary (information only)'
			GEXFWindingRX:2		Real	'GE Transformer Winding Resistance Tertiary - Secondary (information only)'
			GEXFWindingRX:3		Real	'GE Transformer Winding Reactance Tertiary - Secondary (information only)'
			GICAutoXFUsed		String	'Tells whether the GIC calculations assumed the device to be an autotransformer'
			GICBlockDevice		String	'Specifies whether the transformer has a GIC blocking device which would prevent dc neutral current; either yes if there is one or no otherwise'
			GICBusDCVolt		Real	'DC voltage induced at the bus from geomagnetically induced currents at From bus'
			GICBusDCVolt:1		Real	'DC voltage induced at the bus from geomagnetically induced currents at To bus'
			GICBusDCVolt:2		Real	'DC voltage induced at the bus from geomagnetically induced currents Difference'
			GICCoilRFrom		Real	'Per phase resistance for transformer From side coil in ohms'
			GICCoilRTo		Real	'Per phase resistance for transformer To side coil in ohms'
			GICConductance		Real	'GIC per phase conductance for branch in Siemens; total for all three phases in parallel is three times this value'
			GICGeographicRegionScalar		Real	'Scalar applied to induced series dc voltages on line due to the geographic region to which the line belongs.  This is based on the region of the terminals of the line.  If in different regions, then the average of the two region scalars is used.'
			GICGeoMagGraphicScalar		Real	'Product of the scalar for Geomagnetic Latitude and the scalar for Geographic Region Set.'
			GICGLatScalar		Real	'Scalar applied to induced series dc voltages on line due to the geomagnetic latitude of the line. The geomagnetic latitude scalar for the entire line is set equal to the average of the scalar at the terminals of the line'
			GICIgnoreLosses		String	'Ignore the GIC induced reactive power losses in the transformers'
			GICLineAngle		Real	'Compass angle in degrees of the straightline between the line's from and to substation; north is 0 degrees'
			GICLineDCFlow		Real	'Geomagnetic induced current dc amps per phase; brnanch total is three times this value at From bus'
			GICLineDCFlow:1		Real	'Geomagnetic induced current dc amps per phase; brnanch total is three times this value at To bus'
			GICLineDCFlow:2		Real	'Geomagnetic induced current dc amps per phase; brnanch total is three times this value Max Abs Value'
			GICLineDCFlowMag		Real	'Geomagnetic induced current dc amp magnitude per phase; total for branch is three times this value at From bus'
			GICLineDCFlowMag:1		Real	'Geomagnetic induced current dc amp magnitude per phase; total for branch is three times this value at To bus'
			GICLineDCFlowMag:2		Real	'Geomagnetic induced current dc amp magnitude per phase; total for branch is three times this value Max Abs Value'
			GICLineDistance		Real	'Distance between the line's substations; units are either miles or kms based on the GIC distance option'
			GICLineSense		Real	'dIeffective/dEField'
			GICLineSense:1		Real	'dIeffective/dVoltage'
			GICManualCoilR		String	'Select to manually enter the transformer coil resistance; used in the GIC calculations'
			GICModelKUsed		Real	'After calculating the DC currents due to GIC, for transformers this DC current is tranlated to AC power Mvar losses at each transformer by multiplying by a linear factor K.  This is the K factor used for this transformer.'
			GICModelParam		Real	'Model parameter used depending on the GIC Model Type'
			GICModelType		String	'Either Default or Linear.  If default, Simulator will guess an appropriate function to convert DC current into Mvar losses.  If Linear, Mvar losses = DC Current * (GIC Model Param)'
			GICNortonAmps		Real	'The Norton current used for GIC calculation (= 3*VoltDCInduced/GICResistance)'
			GICObjectInputDCVolt		Real	'GIC series dc voltage in line with assumed positive polarity on the from end'
			GICQLosses		Real	'Amount of Mvar losses imposed on the transformer due to the geomagnetically induced DC currents'
			GICResistance		Real	'Per phase resistance for branch in ohms; total for all three phases is 1/3 this value'
			GICXFIEffective1		Real	'The transformer effective GIC is found by equating the MMFs produced by the GICs in the transformer coils'
			GICXFNeutralAmps		Real	'Total neutral current for the transformer (sum of all three phases), in amps '
			GICXFSenseInclude		String	'Tells whether the transformer should be included in the GIC sensitivity calculation'
			HasDFACTS		String	'Tells whether the line has D-FACTS devices'
			InOutage		String	'Scheduled Actions\In Outage?'
			InterfaceLODFMult		Real	'Multiple LODF calculations on Interfaces'
			IslandNumber		Integer	'Number of the electrical island to which the bus belongs.  This is automatically determined by the program at From bus'
			IslandNumber:1		Integer	'Number of the electrical island to which the bus belongs.  This is automatically determined by the program at To Bus'
			IslandTotalBus		Integer	'When using the Branches that Create Islands tool, this field is populated with the count of the number of buses which would be islanded by opening this branch.'
			IsOPFControl		String	'OPF: Transformer is Control Variable'
			Label		String	'This field is when reading from an auxiliary file (or pasting from a spreadsheet).  The label field will automatically be used as the identifying field for the object.  When shown in the user interface, the field will always shown the primary label'
			LabelAppend		String	'A write-only field which appends a new label to the current list'
			Latitude		Real	'Geographic Latitude in decimal degrees.  Note: negative values represent the southern hemisphere at From bus'
			Latitude:1		Real	'Geographic Latitude in decimal degrees.  Note: negative values represent the southern hemisphere at To Bus'
			LatitudeString		String	'Geographic Latitude using a string of the form DDD:MM:SS followed by a N for north or S for south at From bus'
			LatitudeString:1		String	'Geographic Latitude using a string of the form DDD:MM:SS followed by a N for north or S for south at To Bus'
			LineAmp	AmpsFrom	Real	'Current in Amps at From bus'
			LineAmp:1	AmpsTo	Real	'Current in Amps at To bus'
		**	LineAMVA		Real	'Limit A MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
		**	LineAMVA:1	LimitMVAA	Real	'Limit B MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
		**	LineAMVA:2	LimitMVAB	Real	'Limit C MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineAMVA:3	LimitMVAC	Real	'Limit D MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineAMVA:4	LimitMVAD	Real	'Limit E MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineAMVA:5	LimitMVAE	Real	'Limit F MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineAMVA:6	LimitMVAF	Real	'Limit G MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineAMVA:7	LimitMVAG	Real	'Limit H MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineAMVA:8	LimitMVAH	Real	'Limit I MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineAMVA:9		Real	'Limit J MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineAMVA:10		Real	'Limit K MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineAMVA:11		Real	'Limit L MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineAMVA:12		Real	'Limit M MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineAMVA:13		Real	'Limit N MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineAMVA:14		Real	'Limit O MVA.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
		**	LineC		Real	'Per unit susceptance (B) of branch on the system base (modeled as two shunts with 50% at the from bus and 50% at the to bus)'
			LineC:1		Real	'Per unit susceptance (B) of branch on the transformer base (modeled as two shunts with 50% at the from bus and 50% at the to bus)'
		*3C*	LineCircuit	Circuit	String	'Circuit'
			LineConductorType		String	'Field for the conductor name of the line. Only useful in TransLineCalc add-on.'
			LineG		Real	'Per unit conductance (G) of branch on the system base (modeled as two shunts with 50% at the from bus and 50% at the to bus)'
			LineG:1		Real	'Per unit conductance (G) of branch on the transformer base (modeled as two shunts with 50% at the from bus and 50% at the to bus)'
			LineIsSeriesCap		String	'Says YES if the branch is a series-capacitor.  Does not affect the model in any way, but is just informational'
			LineLength		Real	'Transmission line length.  A user-entered value'
			LineLimAmp		Real	'Limit A Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:1		Real	'Limit B Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:2		Real	'Limit C Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:3		Real	'Limit D Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:4		Real	'Limit E Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:5		Real	'Limit F Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:6		Real	'Limit G Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:7		Real	'Limit H Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:8		Real	'Limit I Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:9		Real	'Limit J Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:10		Real	'Limit K Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:11		Real	'Limit L Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:12		Real	'Limit M Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:13		Real	'Limit N Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimAmp:14		Real	'Limit O Amps.  The limits in MVA and Amps are both the same limits expressed in different units.  Changing one limit will change the other.'
			LineLimitFlow		Real	'Limiting flow value at From bus.  The MVA or Amps? field indicates the units of this field'
			LineLimitFlow:1		Real	'Limiting flow value at To bus.  The MVA or Amps? field indicates the units of this field'
			LineLimitFlow:2		Real	'Limiting flow value used.  The MVA or Amps? field indicates the units of this field.  The Limit Monitoring Settings option of the Limiting End of Line (either Higher Flow or Lower Flow) determines this value.'
			LineLimitPercent	PercentFrom	Real	'Limiting Flow as percent of Limit Used at From bus.  See the Flow and Limit Used descriptions for more information on how these are determined.'
			LineLimitPercent:1	PercentTo	Real	'Limiting Flow as percent of Limit Used at To bus.  See the Flow and Limit Used descriptions for more information on how these are determined.'
			LineLimitPercent:2	Percent	Real	'Limiting Flow as percent of Limit Used used.  See the Flow and Limit Used descriptions for more information on how these are determined.'
			LineLimitType		String	'Indicates whether MVA or Amps is being used as the limit.  This is determined by an option in the Limit Monitoring Settings.'
			LineLimitValue		Real	'Limit used in monitoring the branch.  Three things specified in Limit Monitoring Settings determine this: (1) whether to use MVA or Amps, (2) whether to use the higher or lower end of the line, and (3) which rating set to use.'
			LineLimMVA		Real	'Transmission line MVA limit.  The Limit Monitoring Settings option of which rating set to use determines this value.'
			LineLimMVA:1		Real	'Transmission line MVA limit used during contingencies.  The Limit Monitoring Settings option of which contingency rating set to use determines this value.'
			LineLODF		Real	'Line outage distribution factor (LODF) for the transmission line'
			LineLODFCTGMW		Real	'Specified an estimate AFTER the line outage of the of the MW flow at from bus at From bus following an outage '
			LineLODFCTGMW:1		Real	'Specified an estimate AFTER the line outage of the of the MW flow at from bus at To bus following an outage '
			LineLODFMult		Real	'Multiple LODF calculations'
			LineLossMVR		Real	'Reactive power (Mvar) losses on transmission line'
			LineLossMVR:1		Real	'Reactive power (Mvar) losses (series I^2*X only) on transmission line'
			LineLossMW		Real	'Real power (MW) losses on transmission line'
			LineLossMW:1		Real	'Real power (MW) losses  (series I^2*R only) on transmission line'
			LineLPEnforceMVAEquality		String	'Set to YES to enforce the MVA Limit as an equality constraint during the OPF.  Be careful with specifying too many of these'
			LineLPUnenforceableMVA		String	'OPF: MVA Limit is Unenforceable.  Part of the results of the OPF stating if it is impossible to enforce the limit'
			LineMaxActAmp	AmpsMax	Real	'The maximum of the amp flow at the from bus and the amp flow at the to bus'
			LineMaxLoadingOverAllCtg		Real	'Maximum loading of line under all contingencies.  This value is available even if the line is not a violation under any contingency.'
			LineMaxMVA	MVAMax	Real	'The maximum of the MVA flow at the from bus and the MVA flow at the to bus'
			LineMaxMVR	MvarMax	Real	'The maximum of the Mvar flow at the from bus and the Mvar flow at the to bus'
			LineMaxMW	MWMax	Real	'The maximum of the MW flow at the from bus and the MW flow at the to bus'
			LineMaxNomVolt		Real	'The maximum of the Nominal kV at the from bus and the Nominal kV at the to bus'
			LineMaxPercent	PercentMVA	Real	'Transmission line's maximum percent of MVA limit'
			LineMaxPercentContingency		Real	'CTG Results: shows the maximum percent loading experienced on the branch for all processed contingencies that result in a violation on this line.  No result will be available if there are no violations on the line. '
			LineMaxPercentContingencyName		String	'CTG Results: shows the name of the contingency that causes the maximum percent loading on the branch for all processed contingencies that result in a violation on this line.  No result will be available if there are no violations on the line. '
			LineMaxPercentCTGCompare		Real	'CTG Compare Results: Max % Loading Comparison'
			LineMaxPercentCTGDiff		Real	'CTG Compare Results: Worst Increased Violation'
			LineMaxPercentCTGDiff:1		Real	'CTG Compare Results: Worst New Violation'
			LineMaxPercentCTGDiff:2		Real	'CTG Compare Results: Worst Violation'
			LineMCMVA		Real	'OPF: the marginal cost of enforcing the MVA limit on this branch.  Can be interpreted as how much the system would save by increasing the MVA limit by 1.0'
			LineMeter		String	'Metered end of the branch for use when calculating tie-line flows between areas and zones.  Is important because the losses on the branch are assigned to the non-metered end fo the branch.'
			LineMinNomVolt		Real	'The minimum of the Nominal kV at the from bus and the Nominal kV at the to bus'
			LineMonEle	Monitor	String	'Set to NO to prevent the monitoring of this branch flow.  Setting to YES makes it eligible to be monitored, but there are still settings in the Limit Monitoring Settings that can cause the branch to not be monitored'
			LineMonEle:1		String	'Shows whether the branch flow will be monitored.  Affected by the Monitor field as well as the settings in the Limit Monitoring Settings that can cause the branch to not be monitored.'
			LineMVA	MVAFrom	Real	'Apparent power (MVA) flow at From bus'
			LineMVA:1	MVATo	Real	'Apparent power (MVA) flow at To bus'
			LineMVR	MVARFrom	Real	'Reactive power (Mvar) flow at From bus (only recalculated after each power flow solution)'
			LineMVR:1	MvarTo	Real	'Reactive power (Mvar) flow at To bus (only recalculated after each power flow solution)'
			LineMVR:2		Real	'Reactive power (Mvar) flow at From bus (Calculated from the terminal bus voltages)'
			LineMVR:3		Real	'Reactive power (Mvar) flow at To bus (Calculated from the terminal bus voltages)'
			LineMVR:4		Real	'Reactive power (Mvar) flow at From bus (Calculated from the terminal bus voltages and ignoring status)'
			LineMVR:5		Real	'Reactive power (Mvar) flow at To bus (Calculated from the terminal bus voltages and ignoring status)'
			LineMW	MWFrom	Real	'Real power (MW) flow at From bus (only recalculated after each power flow solution)'
			LineMW:1	MWTo	Real	'Real power (MW) flow at To bus (only recalculated after each power flow solution)'
			LineMW:2		Real	'Real power (MW) flow at From bus (Calculated from the terminal bus voltages)'
			LineMW:3		Real	'Real power (MW) flow at To bus (Calculated from the terminal bus voltages)'
			LineMW:4		Real	'Real power (MW) flow at From bus (Calculated from the terminal bus voltages and ignoring status)'
			LineMW:5		Real	'Real power (MW) flow at To bus (Calculated from the terminal bus voltages and ignoring status)'
			LineNameOfWorstCtg		String	'Contingency label for the contingency that results in the maximum line loading under all contingencies.  This label is available even if the line is not a violation under any contingency.'
			LinePercent		Real	'Line flow as a percent of MVA limit at From bus'
			LinePercent:1		Real	'Line flow as a percent of MVA limit at To bus'
			LinePhase		Real	'Phase shift across branch.  This is normally zero, but may become non-zero for branches that are transformers.'
			LinePTDF		Real	'This represents the percentage of the transfer that will appear on the branch at From bus'
			LinePTDF:1		Real	'This represents the percentage of the transfer that will appear on the branch at To bus'
			LinePTDFLosses		Real	'This represents the additional losses generated on the branch as a percentage of the transfer'
			LinePTDFMult		Real	'Multiple direction PDTF values'
		**	LineR		Real	'Per unit series resistance (R) of transmission line on the system base '
			LineR:1		Real	'Per unit series resistance (R) of transmission line on the transformer base'
			LineR:2		Real	'The R actually being used.  Per unit series resistance (R) of transmission line after impedance table correction and/or bypass'
			LineShuntMVR		Real	'Sum of the line shunt Mvar at From bus'
			LineShuntMVR:1		Real	'Sum of the line shunt Mvar at To bus'
			LineShuntMW		Real	'Sum of the line shunt MW at From bus'
			LineShuntMW:1		Real	'Sum of the line shunt MW at To bus'
			LineStatus	Status	String	'Status of the branch (Open or Closed)'
			LineTap		Real	'Transformer: Tap Ratio'
			LineTap:1		Real	'Transformer Base: Tap Ratio'
			LineTapPhase		Real	'Transformer: Tap Ratio or Phase: Shows the tap ratio for an LTC, Mvar or FIXED branch.  Shows the phase for a phase-shifting transformer.'
			LineTowerConfiguration		String	'Field for the tower configuration name of the line. Only useful in TransLineCalc add-on.'
		**	LineX		Real	'Per unit series reactance (X) of transmission line on the system base '
			LineX:1		Real	'Per unit series reactance (X) of transmission line on the transformer base'
			LineX:2		Real	'The X actually being used. Per unit series reactance (X) of transmission line after impedance table correction and/or bypass'
			LineXfmr		String	'Says YES if the branch is a transformer, NO if it is not.'
			LineXFType		String	'Type (Fixed, LTC, Mvar, or Phase)'
			Longitude		Real	'Geographic Longitude in decimal degrees.  Note: negative values represent the western hemisphere at From bus'
			Longitude:1		Real	'Geographic Longitude in decimal degrees.  Note: negative values represent the western hemisphere at To Bus'
			LongitudeString		String	'Geographic Longitude using a string of the form DDD:MM:SS followed by a E for east or W for west at From bus'
			LongitudeString:1		String	'Geographic Longitude using a string of the form DDD:MM:SS followed by a E for east or W for west at To Bus'
			LPOPFConstraint		String	'Will say yes if this branch represents a binding contraint in the linear programming solution of the OPF'
			LPOPFDeviceConstraintStatus		String	'OPF: Constraint Status'
			LSLinePercent		Real	'The Lines & Transformers Percentage for the Limit Group to which this branch belongs.  This is the percentage to which a branch will be limited.'
			LSLineRateSet		String	'Rating Set that is used for this transmission line based on the Limit Monitoring Settings for the Limit Group that contains this line.'
			LSLineRateSet:1		String	'Contingency Rating Set that is used for this transmission line based on the Limit Monitoring Settings for the Limit Group that contains this line.'
			LSName	LimitSet	String	'Name of the limit group to which this branch belongs.  (See Limit Monitoring Settings)'
			MoveDelay		Real	'When using the Time Step Simulation tool, delays can be introduced for moving transformer taps.  This is the delay in seconds to apply before first moving a transformer once its regulated value falls below the regulation range.'
			MoveDelay:1		Real	'When using the Time Step Simulation tool, delays can be introduced for moving transformer taps.  This is the delay in seconds to apply before first moving a transformer once its regulated value goes above the regulation range.'
			MoveDelay:2		Real	'When using the Time Step Simulation tool, delays can be introduced for moving transformer taps.  This is the delay in seconds to apply before moving a transformer in subsequent steps once its regulated value has fallen below the regulation range and the transformer has already been moved at least once. '
			MoveDelay:3		Real	'When using the Time Step Simulation tool, delays can be introduced for moving transformer taps.  This is the delay in seconds to apply before moving a transformer in subsequent steps once its regulated value goes above the regulation range and the transformer has already been moved at least once.'
			MoveDelay:4		Real	'When using the Time Step Simulation tool, delays can be introduced for moving transformer taps.  This is the delay in seconds to apply before first moving a transformer once its regulated value falls below the regulation range.  This delay is applicable when using the secondary regulation range.'
			MoveDelay:5		Real	'When using the Time Step Simulation tool, delays can be introduced for moving transformer taps.  This is the delay in seconds to apply before first moving a transformer once its regulated value goes above the regulation range.  This delay is applicable when using the secondary regulation range.'
			MoveDelay:6		Real	'When using the Time Step Simulation tool, delays can be introduced for moving transformer taps.  This is the delay in seconds to apply before moving a transformer in subsequent steps once its regulated value has fallen below the regulation range and the transformer has already been moved at least once.   This delay is applicable when using the secondary regulation range.'
			MoveDelay:7		Real	'When using the Time Step Simulation tool, delays can be introduced for moving transformer taps.  This is the delay in seconds to apply before moving a transformer in subsequent steps once its regulated value goes above the regulation range and the transformer has already been moved at least once.  This delay is applicable when using the secondary regulation range.'
			NormLineStatus		String	'The normal status of a branch.  For informational use to see if a branch is operating different than the normal status'
			ObjectID		String	'When writing out this field uses option key fields to use in SUBDATA Section to identify the object either by primary, secondary, or label identifier.  When reading from an AUX file we will attempt to use any of these identifiers to identify the object'
		<	ObjectMemo		String	'One custom memo may also be specified for each object.  This respresents multiple lines of text and can be seen on many dialogs'
